Name,G3D Mark,G2D Mark,TDP (W),Category,Prices,Release Date,Release Price,Power Perf.,Value
Quadro GV100,19325.0,913.0,250.0,Workstation,"[(Timestamp('2018-03-27 00:00:00'), 10861.594443794456)]",2018-03-27,10861.594443794456,77.3,1.7792047106896844
Quadro RTX 6000,19150.0,811.0,295.0,Workstation,"[(Timestamp('2018-08-13 00:00:00'), 7603.960995211142)]",2018-08-13,7603.960995211142,64.91525423728814,2.5184242807216366
Quadro RTX 8000,19791.0,859.0,260.0,Workstation,"[(Timestamp('2018-08-13 00:00:00'), 12068.572379542256), (Timestamp('2020-02-11 00:00:00'), 5498.724908226118)]",2018-08-13,12068.572379542256,76.11923076923077,1.6398791321455906
RTX A6000,22607.0,885.0,300.0,Workstation,"[(Timestamp('2021-09-05 00:00:00'), 5717.330817869732), (Timestamp('2022-04-24 00:00:00'), 5214.086560459259), (Timestamp('2022-04-29 00:00:00'), 5320.496707428116), (Timestamp('2022-08-05 00:00:00'), 5267.291633943688), (Timestamp('2022-09-15 00:00:00'), 5213.033100004268), (Timestamp('2022-10-01 00:00:00'), 4994.871016688719), (Timestamp('2022-10-11 00:00:00'), 5122.5631930513455), (Timestamp('2022-10-12 00:00:00'), 4994.871016688719), (Timestamp('2022-10-13 00:00:00'), 5117.402300923357), (Timestamp('2022-10-21 00:00:00'), 4990.625251824661), (Timestamp('2022-11-03 00:00:00'), 4994.881657703415), (Timestamp('2022-11-09 00:00:00'), 4990.625251824661), (Timestamp('2022-11-10 00:00:00'), 5099.525396232589), (Timestamp('2022-11-11 00:00:00'), 5104.462827051944), (Timestamp('2022-11-12 00:00:00'), 4994.871016688719), (Timestamp('2022-11-13 00:00:00'), 4994.881657703415), (Timestamp('2022-11-19 00:00:00'), 4788.445972583834), (Timestamp('2022-12-08 00:00:00'), 4994.871016688719), (Timestamp('2022-12-14 00:00:00'), 4990.625251824661), (Timestamp('2023-01-28 00:00:00'), 4689.99), (Timestamp('2023-02-04 00:00:00'), 4693.98), (Timestamp('2023-02-10 00:00:00'), 4703.98), (Timestamp('2023-02-11 00:00:00'), 4703.99), (Timestamp('2023-02-12 00:00:00'), 4693.98), (Timestamp('2023-02-13 00:00:00'), 4693.99), (Timestamp('2023-02-16 00:00:00'), 4689.99), (Timestamp('2023-02-17 00:00:00'), 4689.99), (Timestamp('2023-03-21 00:00:00'), 4693.98), (Timestamp('2023-03-27 00:00:00'), 4673.98), (Timestamp('2023-04-06 00:00:00'), 4669.99), (Timestamp('2023-04-24 00:00:00'), 4673.98)]",2021-09-05,5717.330817869732,75.35666666666667,3.9541178777587915
Tesla T4,10757.0,576.0,122.9231343283582,Unknown,"[(Timestamp('2021-04-06 00:00:00'), 3191.114643209395), (Timestamp('2021-04-07 00:00:00'), 3179.6776941838507), (Timestamp('2021-04-28 00:00:00'), 4064.680246729515), (Timestamp('2021-04-30 00:00:00'), 3961.370286181771), (Timestamp('2021-05-11 00:00:00'), 5162.6159162327685), (Timestamp('2021-05-13 00:00:00'), 4085.266754975495), (Timestamp('2021-05-23 00:00:00'), 3961.370286181771), (Timestamp('2021-05-25 00:00:00'), 2657.3293582891793), (Timestamp('2021-06-01 00:00:00'), 4046.381128288644), (Timestamp('2021-06-08 00:00:00'), 4026.938314945218), (Timestamp('2021-06-11 00:00:00'), 3981.2591405371936), (Timestamp('2021-06-16 00:00:00'), 3946.879671766406), (Timestamp('2021-06-17 00:00:00'), 2689.9589738590576), (Timestamp('2021-06-18 00:00:00'), 2719.6950413254735), (Timestamp('2021-06-25 00:00:00'), 3938.873807448525), (Timestamp('2021-07-03 00:00:00'), 3981.2591405371936), (Timestamp('2021-07-08 00:00:00'), 4156.164401984846), (Timestamp('2021-07-11 00:00:00'), 3938.873807448525), (Timestamp('2021-07-22 00:00:00'), 4121.853554908213), (Timestamp('2021-08-28 00:00:00'), 2676.234635028404), (Timestamp('2021-08-29 00:00:00'), 2672.8035503207407), (Timestamp('2021-09-03 00:00:00'), 2678.522024833513), (Timestamp('2021-09-05 00:00:00'), 2691.1026687616118), (Timestamp('2021-09-08 00:00:00'), 3919.4309941050988), (Timestamp('2021-09-09 00:00:00'), 2675.0909401258496), (Timestamp('2021-09-16 00:00:00'), 3940.017502351079), (Timestamp('2021-09-23 00:00:00'), 3961.370286181771), (Timestamp('2021-09-26 00:00:00'), 3994.9148576736934), (Timestamp('2021-10-02 00:00:00'), 4015.5013659196734), (Timestamp('2021-10-13 00:00:00'), 3996.0585525762476), (Timestamp('2021-11-04 00:00:00'), 4014.3576710171187), (Timestamp('2021-11-05 00:00:00'), 4613.642363006629), (Timestamp('2021-11-08 00:00:00'), 4979.624731824056), (Timestamp('2021-11-20 00:00:00'), 2457.239935087277), (Timestamp('2021-12-01 00:00:00'), 4875.182513322783), (Timestamp('2021-12-03 00:00:00'), 4979.624731824056), (Timestamp('2021-12-17 00:00:00'), 2476.088027081374), (Timestamp('2021-12-18 00:00:00'), 2533.249898311046), (Timestamp('2021-12-24 00:00:00'), 2475.9965314891697), (Timestamp('2021-12-29 00:00:00'), 5002.498629875145), (Timestamp('2022-01-09 00:00:00'), 4535.902770782648), (Timestamp('2022-01-17 00:00:00'), 4633.076516994607), (Timestamp('2022-01-26 00:00:00'), 4654.358546388378), (Timestamp('2022-01-28 00:00:00'), 4721.045785493761), (Timestamp('2022-02-01 00:00:00'), 4654.358546388378), (Timestamp('2022-02-08 00:00:00'), 4867.178840326092), (Timestamp('2022-03-10 00:00:00'), 4342.587456784327), (Timestamp('2022-03-17 00:00:00'), 4867.178840326092), (Timestamp('2022-03-30 00:00:00'), 2300.1936599228875), (Timestamp('2022-04-06 00:00:00'), 4858.676669583279), (Timestamp('2022-04-10 00:00:00'), 2286.754058360721), (Timestamp('2022-04-15 00:00:00'), 2332.499780542632), (Timestamp('2022-04-26 00:00:00'), 5165.127251838889), (Timestamp('2022-05-18 00:00:00'), 5133.204207748231), (Timestamp('2022-05-20 00:00:00'), 5026.794060779375), (Timestamp('2022-05-21 00:00:00'), 4920.383913810519), (Timestamp('2022-05-22 00:00:00'), 4813.973766841663), (Timestamp('2022-05-23 00:00:00'), 4707.563619872806), (Timestamp('2022-05-24 00:00:00'), 4539.307895485651), (Timestamp('2022-05-25 00:00:00'), 4432.897748516795), (Timestamp('2022-05-26 00:00:00'), 4348.908219514276), (Timestamp('2022-05-27 00:00:00'), 4242.498072545421), (Timestamp('2022-05-28 00:00:00'), 4136.087925576564), (Timestamp('2022-05-29 00:00:00'), 4029.677778607708), (Timestamp('2022-05-30 00:00:00'), 3923.267631638852), (Timestamp('2022-05-31 00:00:00'), 3806.3335211347758), (Timestamp('2022-06-01 00:00:00'), 3699.9233741659195), (Timestamp('2022-06-02 00:00:00'), 3842.3533558837335), (Timestamp('2022-06-07 00:00:00'), 3825.7533729565926), (Timestamp('2022-06-08 00:00:00'), 3719.3432259877354), (Timestamp('2022-06-09 00:00:00'), 3657.5614946576175), (Timestamp('2022-06-10 00:00:00'), 3551.1513476887612), (Timestamp('2022-06-11 00:00:00'), 3444.741200719905), (Timestamp('2022-06-12 00:00:00'), 3338.331053751049), (Timestamp('2022-06-13 00:00:00'), 3231.9209067821926), (Timestamp('2022-06-14 00:00:00'), 3124.936145019705), (Timestamp('2022-06-15 00:00:00'), 3018.5259980508486), (Timestamp('2022-06-16 00:00:00'), 4219.1197632563635), (Timestamp('2022-06-21 00:00:00'), 4174.5658347205035), (Timestamp('2022-06-22 00:00:00'), 4068.155687751647), (Timestamp('2022-06-23 00:00:00'), 4881.161133637799), (Timestamp('2022-06-28 00:00:00'), 4783.5404648085705), (Timestamp('2022-06-30 00:00:00'), 4688.016075874628), (Timestamp('2022-07-01 00:00:00'), 4581.605928905772), (Timestamp('2022-07-02 00:00:00'), 4475.195781936915), (Timestamp('2022-07-03 00:00:00'), 4368.785634968059), (Timestamp('2022-07-04 00:00:00'), 4262.375487999204), (Timestamp('2022-07-05 00:00:00'), 4155.965341030347), (Timestamp('2022-07-06 00:00:00'), 4045.724428770612), (Timestamp('2022-07-07 00:00:00'), 3860.368593765561), (Timestamp('2022-07-08 00:00:00'), 3753.9584467967047), (Timestamp('2022-07-09 00:00:00'), 3647.5482998278485), (Timestamp('2022-07-10 00:00:00'), 3541.1381528589923), (Timestamp('2022-07-11 00:00:00'), 3434.728005890136), (Timestamp('2022-07-12 00:00:00'), 3333.3404178582095), (Timestamp('2022-07-13 00:00:00'), 3226.9302708893533), (Timestamp('2022-07-14 00:00:00'), 3200.2426060295643), (Timestamp('2022-07-15 00:00:00'), 3093.832459060708), (Timestamp('2022-07-16 00:00:00'), 2987.422312091852), (Timestamp('2022-07-17 00:00:00'), 2881.0121651229956), (Timestamp('2022-07-18 00:00:00'), 2774.6020181541394), (Timestamp('2022-07-19 00:00:00'), 2592.364000455276), (Timestamp('2022-07-20 00:00:00'), 2485.9538534864196), (Timestamp('2022-07-21 00:00:00'), 2430.9717305476124), (Timestamp('2022-07-22 00:00:00'), 2333.1382414244454), (Timestamp('2022-07-23 00:00:00'), 2330.839782249918), (Timestamp('2022-07-24 00:00:00'), 2330.7865771764336), (Timestamp('2022-07-25 00:00:00'), 4874.723319746183), (Timestamp('2022-07-26 00:00:00'), 4874.659473658002), (Timestamp('2022-08-22 00:00:00'), 4837.79899874799), (Timestamp('2022-08-24 00:00:00'), 5253.8413913668255), (Timestamp('2022-08-25 00:00:00'), 5257.246516069828), (Timestamp('2022-08-27 00:00:00'), 5205.552466672358), (Timestamp('2022-08-31 00:00:00'), 5046.841732468309), (Timestamp('2022-09-02 00:00:00'), 5058.58941269367), (Timestamp('2022-09-03 00:00:00'), 5167.074557528419), (Timestamp('2022-09-05 00:00:00'), 4820.113632321767), (Timestamp('2022-09-06 00:00:00'), 5167.074557528419), (Timestamp('2022-09-09 00:00:00'), 5046.841732468309), (Timestamp('2022-09-10 00:00:00'), 5032.433798568725), (Timestamp('2022-09-13 00:00:00'), 4948.3804234780255), (Timestamp('2022-09-19 00:00:00'), 5167.074557528419), (Timestamp('2022-09-27 00:00:00'), 4732.793465719123), (Timestamp('2022-09-29 00:00:00'), 4746.488451634015), (Timestamp('2022-10-02 00:00:00'), 4749.47857676384), (Timestamp('2022-10-03 00:00:00'), 5167.074557528419), (Timestamp('2022-10-10 00:00:00'), 4744.764607253119), (Timestamp('2022-10-16 00:00:00'), 4748.893320955511), (Timestamp('2022-10-23 00:00:00'), 4750.67037040989), (Timestamp('2022-11-09 00:00:00'), 4754.6926739653145), (Timestamp('2022-11-29 00:00:00'), 4738.507690611351), (Timestamp('2022-12-07 00:00:00'), 4027.730472918178), (Timestamp('2022-12-10 00:00:00'), 3423.5762224878004), (Timestamp('2022-12-12 00:00:00'), 2991.997948411513), (Timestamp('2022-12-14 00:00:00'), 4742.093712564201), (Timestamp('2022-12-15 00:00:00'), 4738.912049169831), (Timestamp('2022-12-16 00:00:00'), 4742.210763725867), (Timestamp('2022-12-28 00:00:00'), 4743.955890136156), (Timestamp('2023-01-29 00:00:00'), 4466.53), (Timestamp('2023-02-11 00:00:00'), 4466.13), (Timestamp('2023-02-20 00:00:00'), 4646.99)]",2021-04-06,3191.114643209395,87.50997164834232,3.3709224527205883
TITAN RTX,19896.0,830.0,280.0,Workstation,"[(Timestamp('2018-12-28 00:00:00'), 3017.432769590143), (Timestamp('2019-01-18 00:00:00'), 2971.3402948607936), (Timestamp('2019-05-02 00:00:00'), 2970.1636393974068), (Timestamp('2019-05-09 00:00:00'), 2971.3402948607936), (Timestamp('2019-07-04 00:00:00'), 2970.1636393974068), (Timestamp('2019-07-10 00:00:00'), 2971.3402948607936), (Timestamp('2019-07-13 00:00:00'), 2970.1636393974068), (Timestamp('2019-07-16 00:00:00'), 2971.3402948607936), (Timestamp('2019-07-18 00:00:00'), 2961.903280336258), (Timestamp('2019-07-19 00:00:00'), 2971.3402948607936), (Timestamp('2019-07-20 00:00:00'), 2961.903280336258), (Timestamp('2019-07-25 00:00:00'), 2961.9151657449784), (Timestamp('2019-07-27 00:00:00'), 2971.3402948607936), (Timestamp('2019-08-05 00:00:00'), 2961.903280336258), (Timestamp('2019-08-07 00:00:00'), 2971.3284094520727), (Timestamp('2019-08-08 00:00:00'), 2971.316524043351), (Timestamp('2019-08-13 00:00:00'), 2961.2495828565984), (Timestamp('2019-08-16 00:00:00'), 2971.3402948607936), (Timestamp('2019-08-17 00:00:00'), 2970.662826563692), (Timestamp('2019-08-18 00:00:00'), 2961.2495828565984), (Timestamp('2019-09-11 00:00:00'), 2969.4742856915846), (Timestamp('2019-09-12 00:00:00'), 2964.720122203153), (Timestamp('2019-09-13 00:00:00'), 2968.285744819477), (Timestamp('2019-09-14 00:00:00'), 2970.662826563692), (Timestamp('2019-09-15 00:00:00'), 2969.4742856915846), (Timestamp('2019-09-17 00:00:00'), 2971.3402948607936), (Timestamp('2019-09-19 00:00:00'), 2970.662826563692), (Timestamp('2019-09-23 00:00:00'), 2969.4742856915846), (Timestamp('2019-09-25 00:00:00'), 2971.3402948607936), (Timestamp('2019-09-28 00:00:00'), 3415.866466437834), (Timestamp('2019-09-29 00:00:00'), 2971.3402948607936), (Timestamp('2019-10-02 00:00:00'), 3415.866466437834), (Timestamp('2019-10-08 00:00:00'), 3202.38075498983), (Timestamp('2019-10-09 00:00:00'), 2971.3402948607936), (Timestamp('2019-10-10 00:00:00'), 3078.02372354119), (Timestamp('2019-10-11 00:00:00'), 3415.866466437834), (Timestamp('2019-10-12 00:00:00'), 3086.8545822209508), (Timestamp('2019-10-13 00:00:00'), 2971.3402948607936), (Timestamp('2019-10-14 00:00:00'), 3086.8545822209508), (Timestamp('2019-10-15 00:00:00'), 3084.7152086511574), (Timestamp('2019-10-18 00:00:00'), 3075.278194126621), (Timestamp('2019-10-19 00:00:00'), 3083.5742094139337), (Timestamp('2019-10-24 00:00:00'), 3083.5623240052123), (Timestamp('2019-10-25 00:00:00'), 2971.3402948607936), (Timestamp('2019-10-26 00:00:00'), 3083.5385531877705), (Timestamp('2019-10-27 00:00:00'), 2971.3402948607936), (Timestamp('2019-10-28 00:00:00'), 2971.3284094520727), (Timestamp('2019-10-29 00:00:00'), 2971.3402948607936), (Timestamp('2019-10-31 00:00:00'), 3084.2516777110345), (Timestamp('2019-11-01 00:00:00'), 2971.3402948607936), (Timestamp('2019-11-05 00:00:00'), 2988.443398010425), (Timestamp('2019-11-06 00:00:00'), 2971.3402948607936), (Timestamp('2019-11-08 00:00:00'), 2971.3284094520727), (Timestamp('2019-11-16 00:00:00'), 2971.316524043351), (Timestamp('2019-11-20 00:00:00'), 2959.466771548437), (Timestamp('2019-12-07 00:00:00'), 2963.6147791920926), (Timestamp('2019-12-09 00:00:00'), 2947.521935783753), (Timestamp('2020-01-02 00:00:00'), 2864.4688744083637), (Timestamp('2020-01-15 00:00:00'), 2840.115090455904), (Timestamp('2020-02-04 00:00:00'), 2841.2631974136625), (Timestamp('2020-02-06 00:00:00'), 2839.859955576402), (Timestamp('2020-02-07 00:00:00'), 2840.115090455904), (Timestamp('2020-02-18 00:00:00'), 2841.2631974136625), (Timestamp('2020-02-19 00:00:00'), 2899.2368002604944), (Timestamp('2020-02-20 00:00:00'), 2840.115090455904), (Timestamp('2020-03-05 00:00:00'), 2898.100290342713), (Timestamp('2020-03-07 00:00:00'), 2887.65135732311), (Timestamp('2020-03-09 00:00:00'), 2898.100290342713), (Timestamp('2020-03-13 00:00:00'), 2887.65135732311), (Timestamp('2020-03-17 00:00:00'), 2899.2368002604944), (Timestamp('2020-03-18 00:00:00'), 2887.65135732311), (Timestamp('2020-03-19 00:00:00'), 2899.2368002604944), (Timestamp('2020-03-20 00:00:00'), 2887.65135732311), (Timestamp('2020-03-22 00:00:00'), 2899.2368002604944), (Timestamp('2020-03-23 00:00:00'), 2887.65135732311), (Timestamp('2020-03-25 00:00:00'), 2899.2368002604944), (Timestamp('2020-03-26 00:00:00'), 2887.65135732311), (Timestamp('2020-03-27 00:00:00'), 2899.2368002604944), (Timestamp('2020-03-28 00:00:00'), 2887.65135732311), (Timestamp('2020-04-04 00:00:00'), 2899.2368002604944), (Timestamp('2020-04-05 00:00:00'), 2887.65135732311), (Timestamp('2020-04-07 00:00:00'), 2899.2368002604944), (Timestamp('2020-04-08 00:00:00'), 2887.65135732311), (Timestamp('2020-04-09 00:00:00'), 2899.2368002604944), (Timestamp('2020-04-11 00:00:00'), 2887.65135732311), (Timestamp('2020-04-14 00:00:00'), 2899.2368002604944), (Timestamp('2020-04-15 00:00:00'), 2887.65135732311), (Timestamp('2020-04-17 00:00:00'), 2899.2368002604944), (Timestamp('2020-04-18 00:00:00'), 2887.65135732311), (Timestamp('2020-04-24 00:00:00'), 2899.2368002604944), (Timestamp('2020-04-26 00:00:00'), 2887.65135732311), (Timestamp('2020-04-27 00:00:00'), 2899.2368002604944), (Timestamp('2020-04-29 00:00:00'), 2887.65135732311), (Timestamp('2020-05-03 00:00:00'), 2899.2368002604944), (Timestamp('2020-05-06 00:00:00'), 2887.65135732311), (Timestamp('2020-05-07 00:00:00'), 2899.2368002604944), (Timestamp('2020-05-08 00:00:00'), 2887.65135732311), (Timestamp('2020-05-23 00:00:00'), 2899.2483973004714), (Timestamp('2020-07-28 00:00:00'), 2898.100290342713), (Timestamp('2020-09-30 00:00:00'), 2899.2483973004714), (Timestamp('2020-10-03 00:00:00'), 2898.100290342713), (Timestamp('2020-10-07 00:00:00'), 2899.2483973004714), (Timestamp('2020-10-22 00:00:00'), 2898.100290342713), (Timestamp('2021-08-28 00:00:00'), 5431.510024772347), (Timestamp('2021-08-29 00:00:00'), 5431.464276976246), (Timestamp('2021-09-03 00:00:00'), 5430.892429524968), (Timestamp('2021-09-05 00:00:00'), 5430.686564442508), (Timestamp('2021-09-09 00:00:00'), 5430.137590889282), (Timestamp('2021-11-20 00:00:00'), 5427.438470919253), (Timestamp('2021-12-17 00:00:00'), 5507.462803250989), (Timestamp('2021-12-18 00:00:00'), 5450.3123689703425), (Timestamp('2022-03-30 00:00:00'), 3031.614446128018), (Timestamp('2022-04-10 00:00:00'), 2974.1529667648356)]",2018-12-28,3017.432769590143,71.05714285714286,6.593684605175965
Tesla M10,3490.0,522.0,122.9231343283582,Unknown,"[(Timestamp('2019-07-10 00:00:00'), 2732.4554649758456), (Timestamp('2019-07-27 00:00:00'), 2731.266924103738), (Timestamp('2019-07-28 00:00:00'), 3563.2455345792023), (Timestamp('2019-08-12 00:00:00'), 3564.4340754513096), (Timestamp('2019-08-15 00:00:00'), 2614.789918637173), (Timestamp('2019-08-24 00:00:00'), 2613.601377765065), (Timestamp('2019-09-05 00:00:00'), 2614.789918637173), (Timestamp('2019-09-18 00:00:00'), 3564.4340754513096), (Timestamp('2019-09-25 00:00:00'), 3802.1422498728707), (Timestamp('2019-09-28 00:00:00'), 2608.8472142766336), (Timestamp('2019-10-05 00:00:00'), 3802.1422498728707), (Timestamp('2020-01-25 00:00:00'), 3708.7333847603027), (Timestamp('2020-03-14 00:00:00'), 3305.156393548112), (Timestamp('2020-03-17 00:00:00'), 4141.882827914766), (Timestamp('2020-03-20 00:00:00'), 3722.9861468924805), (Timestamp('2020-03-24 00:00:00'), 3853.9051311969174), (Timestamp('2020-04-01 00:00:00'), 3713.6157385907723), (Timestamp('2021-05-25 00:00:00'), 3076.5392878714897), (Timestamp('2021-11-20 00:00:00'), 3082.257762384262)]",2019-07-10,2732.4554649758456,28.391726415609806,1.2772394810214596
Radeon Vega 3,887.0,308.0,122.9231343283582,Unknown,"[(Timestamp('2019-01-31 00:00:00'), 772.5159106439106), (Timestamp('2019-02-13 00:00:00'), 713.0888670385203), (Timestamp('2019-07-10 00:00:00'), 438.5715818077804), (Timestamp('2019-07-12 00:00:00'), 438.5596963990593), (Timestamp('2019-07-14 00:00:00'), 438.42895690312747), (Timestamp('2019-07-26 00:00:00'), 438.4051860856853), (Timestamp('2019-07-27 00:00:00'), 438.3814152682431), (Timestamp('2019-07-29 00:00:00'), 438.35764445080093), (Timestamp('2019-07-30 00:00:00'), 438.3814152682431), (Timestamp('2019-07-31 00:00:00'), 332.7795587814646), (Timestamp('2019-08-01 00:00:00'), 320.8941500603865), (Timestamp('2019-08-11 00:00:00'), 436.5272915077549), (Timestamp('2019-08-12 00:00:00'), 436.2658125158912), (Timestamp('2019-08-13 00:00:00'), 435.95679188914323), (Timestamp('2019-08-14 00:00:00'), 435.8498232106535), (Timestamp('2019-08-15 00:00:00'), 435.4932609490212), (Timestamp('2019-08-16 00:00:00'), 435.18424032227307), (Timestamp('2019-08-17 00:00:00'), 434.851448878083), (Timestamp('2019-08-18 00:00:00'), 434.50677202517164), (Timestamp('2019-08-19 00:00:00'), 434.1739805809815), (Timestamp('2019-08-20 00:00:00'), 433.8411891367913), (Timestamp('2019-08-21 00:00:00'), 433.8055329106281), (Timestamp('2019-08-28 00:00:00'), 432.62887744724134), (Timestamp('2019-09-04 00:00:00'), 424.1902372552759), (Timestamp('2019-09-07 00:00:00'), 426.947652078566), (Timestamp('2019-09-27 00:00:00'), 425.4976322145945), (Timestamp('2019-11-07 00:00:00'), 421.9320095982711), (Timestamp('2019-11-28 00:00:00'), 414.8007643656242), (Timestamp('2019-12-03 00:00:00'), 425.4976322145945), (Timestamp('2019-12-04 00:00:00'), 424.3090913424867), (Timestamp('2019-12-08 00:00:00'), 420.5889584127893), (Timestamp('2019-12-10 00:00:00'), 414.8007643656242), (Timestamp('2019-12-11 00:00:00'), 429.0632548309179), (Timestamp('2019-12-19 00:00:00'), 475.4044634344013), (Timestamp('2020-01-04 00:00:00'), 450.98569063964555), (Timestamp('2020-01-05 00:00:00'), 463.8700020544945), (Timestamp('2020-01-30 00:00:00'), 440.6759220997709), (Timestamp('2020-02-03 00:00:00'), 463.8700020544945), (Timestamp('2020-02-15 00:00:00'), 440.6759220997709), (Timestamp('2020-02-19 00:00:00'), 452.2729620771327), (Timestamp('2020-03-08 00:00:00'), 463.8700020544945), (Timestamp('2020-03-10 00:00:00'), 284.09268832543194), (Timestamp('2020-03-13 00:00:00'), 565.2861166565234), (Timestamp('2020-03-14 00:00:00'), 556.6231277934342), (Timestamp('2020-03-15 00:00:00'), 565.2861166565234), (Timestamp('2020-03-16 00:00:00'), 556.646321873389), (Timestamp('2021-05-13 00:00:00'), 652.7066808878287), (Timestamp('2021-05-16 00:00:00'), 653.0383524095695), (Timestamp('2021-05-17 00:00:00'), 706.792012829629), (Timestamp('2021-05-20 00:00:00'), 699.9298434143022), (Timestamp('2021-05-21 00:00:00'), 706.792012829629), (Timestamp('2021-05-22 00:00:00'), 709.0794026347379), (Timestamp('2021-05-25 00:00:00'), 616.4401155278268), (Timestamp('2021-08-28 00:00:00'), 3034.5313741006644), (Timestamp('2021-09-03 00:00:00'), 3001.5472131109937), (Timestamp('2021-09-09 00:00:00'), 3062.8035120918107)]",2019-01-31,772.5159106439106,7.215891498752406,1.1481964161238623
Radeon Pro SSG,10498.0,601.0,122.9231343283582,Unknown,"[(Timestamp('2022-03-30 00:00:00'), 2663.286363410019), (Timestamp('2022-04-10 00:00:00'), 2564.6441571698892)]",2022-03-30,2663.286363410019,85.40296387136726,3.9417466120911495
RTX A5500,17337.0,813.0,122.9231343283582,Unknown,"[(Timestamp('2023-03-01 00:00:00'), 2169.99)]",2023-03-01,2169.99,141.03935841473557,7.989437739344422
